"number","severity","package","ecosystem","manifest","relationship","scope","summary","cve","ghsa","opened","url"
220,"low","@babel/core","npm","package-lock.json","transitive","development","@babel/core: Arbitrary File Read via sourceMappingURL Comment","CVE-2026-49356","GHSA-4x5r-pxfx-6jf8","2026-06-19T07:37:11Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/220"
219,"high","ws","npm","package-lock.json","transitive","runtime","ws: Memory exhaustion DoS from tiny fragments and data chunks","CVE-2026-48779","GHSA-96hv-2xvq-fx4p","2026-06-19T07:37:10Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/219"
218,"high","ws","npm","package-lock.json","transitive","development","ws: Memory exhaustion DoS from tiny fragments and data chunks","CVE-2026-48779","GHSA-96hv-2xvq-fx4p","2026-06-19T07:37:10Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/218"
217,"medium","undici","npm","documentation/package-lock.json","transitive","development","undici vulnerable to cross-user information disclosure via shared cache whitespace bypass","CVE-2026-9678","GHSA-pr7r-676h-xcf6","2026-06-19T07:37:06Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/217"
216,"medium","vite","npm","documentation/package-lock.json","transitive","development","launch-editor: NTLMv2 hash disclosure via UNC path handling on Windows","CVE-2026-53632","GHSA-v6wh-96g9-6wx3","2026-06-17T07:30:58Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/216"
215,"high","vite","npm","documentation/package-lock.json","transitive","development","vite: `server.fs.deny` bypass on Windows alternate paths","CVE-2026-53571","GHSA-fx2h-pf6j-xcff","2026-06-17T07:27:58Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/215"
213,"medium","markdown-it","npm","documentation/package-lock.json","transitive","development","markdown-it: Quadratic complexity DoS in smartquotes rule via replaceAt string operations","CVE-2026-48988","GHSA-6v5v-wf23-fmfq","2026-06-16T23:15:45Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/213"
210,"medium","markdown-it","npm","package-lock.json","transitive","development","markdown-it: Quadratic complexity DoS in smartquotes rule via replaceAt string operations","CVE-2026-48988","GHSA-6v5v-wf23-fmfq","2026-06-16T13:21:53Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/210"
206,"critical","shell-quote","npm","package-lock.json","transitive","runtime","shell-quote quote() does not escape newlines in object .op values","CVE-2026-9277","GHSA-w7jw-789q-3m8p","2026-06-09T18:03:01Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/206"
204,"high","axios","npm","package-lock.json","transitive","development","Axios: Proxy-Authorization Credential Leak to Origin Server Across HTTP-to-HTTPS Redirect in Axios Node.js HTTP Adapter","CVE-2026-44487","GHSA-p92q-9vqr-4j8v","2026-06-06T05:00:53Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/204"
203,"high","axios","npm","package-lock.json","transitive","development","Axios: Proxy-Authorization header leaks to redirect target when proxy is re-evaluated to direct connection","CVE-2026-44486","GHSA-j5f8-grm9-p9fc","2026-06-06T05:00:52Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/203"
201,"high","axios","npm","package-lock.json","transitive","development","axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge","CVE-2026-44495","GHSA-3g43-6gmg-66jw","2026-05-29T21:56:16Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/201"
200,"high","axios","npm","package-lock.json","transitive","development","axios Vulnerable to Full Man-in-the-Middle via Prototype Pollution Gadget in `config.proxy`","CVE-2026-44494","GHSA-35jp-ww65-95wh","2026-05-29T21:56:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/200"
198,"medium","axios","npm","package-lock.json","transitive","development","axios has DoS & Header Injection via Prototype Pollution Read-Side Gadgets in axios merge functions","CVE-2026-44490","GHSA-898c-q2cr-xwhg","2026-05-29T21:56:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/198"
197,"medium","qs","npm","package-lock.json","transitive","runtime","qs has a remotely triggerable DoS: qs.stringify crashes with TypeError on null/undefined entries in comma-format arrays when encodeValuesOnly is set","CVE-2026-8723","GHSA-q8mj-m7cp-5q26","2026-05-22T18:58:00Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/197"
196,"medium","serialize-javascript","npm","package-lock.json","transitive","development","Serialize JavaScript has CPU Exhaustion Denial of Service via crafted array-like objects","CVE-2026-34043","GHSA-qj8w-gfj5-8c6v","2026-05-22T07:30:30Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/196"
195,"low","@tootallnate/once","npm","package-lock.json","transitive","development","@tootallnate/once vulnerable to Incorrect Control Flow Scoping","CVE-2026-3449","GHSA-vpq2-c234-7xj6","2026-05-22T05:47:42Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/195"
194,"medium","uuid","npm","package-lock.json","transitive","runtime","uuid: Missing buffer bounds check in v3/v5/v6 when buf is provided","CVE-2026-41907","GHSA-w5hq-g745-h8pq","2026-05-21T23:03:41Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/194"
193,"medium","ws","npm","package-lock.json","transitive","runtime","ws: Uninitialized memory disclosure","CVE-2026-45736","GHSA-58qx-3vcg-4xpx","2026-05-20T11:52:38Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/193"
192,"high","composer/composer","composer","composer.lock","unknown","development","Github Actions issued GITHUB_TOKEN disclosure in GitHub Actions logs","CVE-2026-45793","GHSA-f9f8-rm49-7jv2","2026-05-19T16:30:13Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/192"
